9.9424 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025E4C8D8F40>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025E4C8D8EE0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025E4C8D8D00>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000025E4CC93A00>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.9424 	EXP 	window1: mouseVisible = True
9.9425 	EXP 	window1: backgroundImage = ''
9.9425 	EXP 	window1: backgroundFit = 'none'
9.9438 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.9438 	EXP 	window1: recordFrameIntervals = False
10.1088 	EXP 	window1: recordFrameIntervals = True
10.2922 	EXP 	Screen (0) actual frame rate measured at 60.00Hz
10.2922 	EXP 	window1: recordFrameIntervals = False
10.2923 	EXP 	window1: mouseVisible = False
12.1385 	EXP 	PAT_v2: status = STARTED
12.1391 	EXP 	window1: mouseVisible = True
12.2218 	EXP 	Created welcome = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Consolas', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='welcome', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=2.0)
12.2219 	EXP 	window1: mouseVisible = True
