7.9920 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fdfbc86d310>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fdfbc86d2b0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fdfbc86d100>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fdfca708e80>, multiSample=False, name='window1', numSamples=2, pos=(360, 225), screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.9926 	EXP 	window1: mouseVisible = True
7.9927 	EXP 	window1: backgroundImage = ''
7.9927 	EXP 	window1: backgroundFit = 'none'
7.9956 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.9956 	EXP 	window1: recordFrameIntervals = False
8.0816 	EXP 	window1: recordFrameIntervals = True
8.1742 	EXP 	Screen (0) actual frame rate measured at 118.32Hz
8.1743 	EXP 	window1: recordFrameIntervals = False
8.1744 	EXP 	window1: mouseVisible = True
9.1558 	EXP 	DelayDiscountingTitrated: status = STARTED
9.3672 	EXP 	window1: mouseVisible = True
9.4039 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0, draggable=False, flipHoriz=False, flipVert=False, font='Times New Roman', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([-0.4,  0. ]), rgb=UNKNOWN, text='0 now\n(1)', units='height', win=Window(...), wrapWidth=1)
9.4040 	EXP 	window1: mouseVisible = True
