11.2055 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7ff4a28b0730>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7ff4a28b06d0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7ff4a28b0550>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7ff4a28d42e0>, multiSample=False, name='window1', numSamples=2, pos=(360, 225), screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.2061 	EXP 	window1: mouseVisible = True
11.2061 	EXP 	window1: backgroundImage = ''
11.2062 	EXP 	window1: backgroundFit = 'none'
11.2085 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
11.2085 	EXP 	window1: recordFrameIntervals = False
11.3105 	EXP 	window1: recordFrameIntervals = True
11.3370 	WARNING 	t of last frame was 10.62ms (=1/94)
11.3704 	WARNING 	t of last frame was 11.02ms (=1/90)
11.4550 	WARNING 	t of last frame was 10.41ms (=1/96)
11.4877 	WARNING 	t of last frame was 10.36ms (=1/96)
11.5366 	EXP 	Screen (0) actual frame rate measured at 122.88Hz
11.5366 	EXP 	window1: recordFrameIntervals = False
11.5367 	EXP 	window1: mouseVisible = True
12.9238 	EXP 	DelayDiscountingTitrated: status = STARTED
13.2659 	EXP 	window1: mouseVisible = True
